ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,leverage,in_ad_leverage
phase2_7CHM_LIG_146393706,7CHM_LIG,-9.114,2,1,479.43,4.22,2,6,92.37,6.534,292.61,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(C2CC2)c2c(C(F)(F)F)c[nH]c2n1,0.1807411179414988,True
phase2_7CHN_LIG_155691548,7CHN_LIG,-9.06,4,1,449.52,3.55,3,8,128.19,6.52,302.14,COCC(C)(C)Nc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,0.18146621234210028,True
phase2_7CHM_LIG_142436000,7CHM_LIG,-9.272,3,1,434.5,3.48,3,7,115.3,6.513,307.12,CCNc1cc(Nc2ccc(C(=O)N3CCO[C@@H](C)C3)cc2OC)nc2[nH]cc(C#N)c12,0.1623977120245041,True
phase2_7CHM_LIG_146329893,7CHM_LIG,-10.15,1,1,436.49,4.19,3,6,106.07,6.512,307.39,CNc1cc(Nc2ccc(C(=O)N3CCC(C)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,0.15359595243549157,True
phase2_7CHT_LIG_151121021,7CHT_LIG,-9.439,2,0,421.46,3.15,3,8,128.19,6.496,319.09,CCNc1nc(Nc2cc3c(cc2OC)N(C)C(=O)C(C)(C)O3)nc2[nH]cc(C#N)c12,0.23113993219280374,False
phase2_7CHM_LIG_142416417,7CHM_LIG,-10.081,1,1,441.44,3.49,3,7,118.96,6.495,320.12,CNc1nc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,0.15933302791144316,True
phase2_7CHM_LIG_142436084,7CHM_LIG,-9.228,2,1,420.47,3.09,3,7,115.3,6.486,326.46,CCNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,0.1575850022637725,True
phase2_7CIL_LIG_177211774,7CIL_LIG,-9.146,2,1,348.41,2.54,2,7,98.45,6.476,334.1,CC[C@@]12C[C@@H]1CN(c1nc(Nc3cnn(C)c3)nc3[nH]cc(C#N)c13)C2,0.15065570844555912,True
phase2_7CHN_LIG_166866571,7CHN_LIG,-8.83,4,0,451.53,3.34,4,9,131.35,6.475,334.71,COCC(C)(C)Nc1nc(Nc2ccc(N3CCC[C@H]3O)cc2OC)nc2[nH]cc(C#N)c12,0.14932367141520983,True
phase2_7CHM_LIG_142436018,7CHM_LIG,-9.1,3,1,434.5,3.48,3,7,115.3,6.467,341.52,CCCNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,0.15302571825433098,True
phase2_7CHN_LIG_155109132,7CHN_LIG,-9.86,3,1,433.52,4.17,3,7,118.96,6.458,348.24,COc1cc(N2CCCC2=O)ccc1Nc1nc(NCC(C)(C)C)c2c(C#N)c[nH]c2n1,0.21900695625701141,False
phase2_7CIL_LIG_155022106,7CIL_LIG,-7.688,2,1,282.31,1.66,3,7,107.24,6.446,358.1,CNc1nc(Nc2cn(C)nc2C)nc2[nH]cc(C#N)c12,0.1827329109271918,True
phase2_7CIL_LIG_151591358,7CIL_LIG,-7.855,3,1,282.31,1.74,3,7,107.24,6.445,358.77,CCNc1nc(Nc2cnn(C)c2)nc2[nH]cc(C#N)c12,0.15470257994123485,True
phase2_7CHM_LIG_142436085,7CHM_LIG,-8.082,2,0,450.5,2.72,3,8,124.53,6.44,363.33,COCCNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,0.1480146103112777,True
phase2_7CHM_LIG_142416365,7CHM_LIG,-9.527,1,1,455.47,3.88,3,7,118.96,6.431,370.82,CCNc1nc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,0.188631164871231,True
phase2_7CIL_LIG_155928385,7CIL_LIG,-9.079,1,0,351.42,1.89,2,9,113.61,6.421,379.44,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3cnn(C)c3)nc2n1C,0.1862901551875168,True
phase2_7CIL_LIG_142416409,7CIL_LIG,-7.647,1,0,296.34,2.05,3,7,107.24,6.421,379.73,CCNc1nc(Nc2cnn(C)c2C)nc2[nH]cc(C#N)c12,0.15827494871684522,True
phase2_7CHN_LIG_155109167,7CHN_LIG,-10.333,4,1,487.53,6.21,3,5,82.28,6.417,382.91,COc1cc(N2CCCC2=O)ccc1Nc1cc(NC2CCCCC2)c2c(C(F)(F)F)c[nH]c2n1,0.15878803623391433,True
phase2_7CHM_LIG_155564829,7CHM_LIG,-9.642,3,1,471.52,3.62,5,7,133.06,6.412,387.67,C=CC(=O)NCc1ccc(Nc2nc(Nc3ccccc3C(=O)NC)c3cc[nH]c3n2)c(OC)c1,0.23547269534742565,False
phase2_7CHN_LIG_155109177,7CHN_LIG,-10.224,2,1,474.49,5.21,3,6,95.17,6.412,387.25,COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCCC2)c2c(C(F)(F)F)c[nH]c2n1,0.1545194807649058,True
phase2_7CHN_LIG_155109171,7CHN_LIG,-10.138,3,0,488.51,5.6,3,6,95.17,6.406,393.1,COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCCCC2)c2c(C(F)(F)F)c[nH]c2n1,0.1552682364368248,True
phase2_7CIL_LIG_142416376,7CIL_LIG,-8.311,2,0,335.38,2.38,3,8,131.03,6.376,420.7,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)nc2[nH]cc(C#N)c12,0.16720196876848617,True
phase2_7CHM_LIG_146290574,7CHM_LIG,-8.906,2,0,475.47,4.38,3,6,91.51,6.366,430.77,COc1cc(C(=O)N2CCOCC2)ccc1Nc1cc(NC2CC2)c2c(C(F)(F)F)c[nH]c2n1,0.12141778967870441,True
phase2_7CHM_LIG_117881492,7CHM_LIG,-9.448,1,1,464.46,3.05,3,8,123.28,6.356,440.44,COc1cc(C(=O)NC2COC2)ccc1Nc1nc(OC)c2c(-c3ccnc(F)c3)c[nH]c2n1,0.17382920832782572,True
phase2_7CHM_LIG_142435998,7CHM_LIG,-9.194,3,1,420.47,3.09,3,7,115.3,6.35,447.11,CNc1cc(Nc2ccc(C(=O)N3CCO[C@@H](C)C3)cc2OC)nc2[nH]cc(C#N)c12,0.12506835476331277,True
phase2_7CHM_LIG_122490584,7CHM_LIG,-9.138,3,1,408.46,2.76,3,7,104.4,6.346,451.19,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(NC2CC2)c2cc[nH]c2n1,0.1288642446671034,True
phase2_7CHM_LIG_151973166,7CHM_LIG,-9.398,3,0,476.46,3.78,3,7,104.4,6.346,450.58,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(NC2CC2)c2c(C(F)(F)F)c[nH]c2n1,0.11059722894316534,True
phase2_7CIL_LIG_142416408,7CIL_LIG,-7.556,2,0,296.34,2.05,3,7,107.24,6.34,457.11,CCNc1nc(Nc2cn(C)nc2C)nc2[nH]cc(C#N)c12,0.21021368449222344,True
phase2_7CHM_LIG_118286440,7CHM_LIG,-8.814,3,0,415.43,2.72,2,7,101.6,6.322,476.01,CCOc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,0.15654264869875625,True
phase2_7CHN_LIG_155119010,7CHN_LIG,-8.828,5,2,418.46,3.13,3,9,125.7,6.321,477.78,COCCNc1nc(Nc2ccc(-n3ccnc3C)cc2OC)nc2[nH]cc(C#N)c12,0.19126007761343553,True
phase2_7CHM_LIG_118286345,7CHM_LIG,-8.812,3,0,428.47,2.64,2,7,95.61,6.306,494.48,CCOc1nc(Nc2cc(F)c(C(=O)N3CCN(C)CC3)cc2OC)nc2[nH]ccc12,0.17634902881648376,True
phase2_7CHM_LIG_142436062,7CHM_LIG,-9.095,2,1,406.45,2.7,3,7,115.3,6.278,527.07,CNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,0.11407616286667152,True
phase2_7CIL_LIG_142416390,7CIL_LIG,-8.84,3,0,369.82,3.11,3,8,131.03,6.261,548.27,CCNc1nc(Nc2cn(C(C)(C)C#N)nc2Cl)nc2[nH]cc(C#N)c12,0.1738070184815438,True
phase2_7CHM_LIG_117881532,7CHM_LIG,-9.249,3,0,478.48,3.36,3,8,123.28,6.256,554.81,COc1cc(C(=O)NC2COC2)ccc1Nc1nc(OC)c2c(-c3cc(C)nc(F)c3)c[nH]c2n1,0.18490446488826243,True
phase2_7CIL_LIG_142416341,7CIL_LIG,-7.489,2,0,312.34,1.19,4,8,127.47,6.255,556.05,CCNc1nc(Nc2cnn(CCO)c2)nc2[nH]cc(C#N)c12,0.18264966876932387,True
phase2_7CIL_LIG_142416321,7CIL_LIG,-8.6,2,0,369.82,3.11,3,8,131.03,6.251,560.79,CCNc1nc(Nc2cnn(C(C)(C)C#N)c2Cl)nc2[nH]cc(C#N)c12,0.16097412073182935,True
phase2_7CHM_LIG_142436022,7CHM_LIG,-8.546,2,0,463.46,4.24,3,6,91.51,6.231,587.3,CCNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.15266804315233748,True
phase2_7CHM_LIG_146393712,7CHM_LIG,-9.283,3,1,460.46,4.68,2,5,79.48,6.22,602.45,COc1cc(C(=O)N2CCOCC2)ccc1Nc1cc(C2CC2)c2c(C(F)(F)F)c[nH]c2n1,0.12635995287848326,True
phase2_7CHM_LIG_146393637,7CHM_LIG,-6.956,1,1,439.49,3.98,2,6,92.37,6.214,610.53,COc1cc(C(=O)N2CCCCOCC2)ccc1Nc1nc(C2CC2)c2c(F)c[nH]c2n1,0.1386388480927197,True
phase2_7CHN_LIG_155109155,7CHN_LIG,-9.063,4,1,420.4,3.9,3,6,95.17,6.202,627.72,CNc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.15695845695161398,True
phase2_7CHM_LIG_150071746,7CHM_LIG,-9.37,2,1,451.44,4.13,3,7,118.96,6.2,630.66,CCNc1nc(Nc2ccc(C(=O)N3C=CC(F)(F)C=C3)cc2OC)nc2[nH]cc(C#N)c12,0.17222095523575803,True
phase2_7CHM_LIG_148534597,7CHM_LIG,-8.777,3,1,489.5,3.69,3,7,98.41,6.2,631.54,COc1cc(C(=O)N2CCN(C)CC2)ccc1Nc1nc(NC2CC2)c2c(C(F)(F)F)c[nH]c2n1,0.09761540857670682,True
phase2_7CHM_LIG_118286394,7CHM_LIG,-9.52,2,1,438.46,3.55,2,7,116.16,6.194,640.06,CCOc1nc(Nc2ccc(C(=O)N3CCC(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,0.13899506606502,True
phase2_7CHM_LIG_117881533,7CHM_LIG,-9.725,4,0,464.5,4.4,2,7,105.26,6.194,639.92,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC(C)C)c2c(-c3ccnc(F)c3)c[nH]c2n1,0.17841794006270517,True
phase2_7CHM_LIG_146393636,7CHM_LIG,-9.105,1,1,411.44,3.2,2,6,92.37,6.192,642.99,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(C2CC2)c2c(F)c[nH]c2n1,0.1356255002249217,True
phase2_7CHM_LIG_155548752,7CHM_LIG,-9.616,3,0,473.54,3.84,5,7,133.06,6.161,689.85,CCC(=O)NCc1ccc(Nc2nc(Nc3ccccc3C(=O)NC)c3cc[nH]c3n2)c(OC)c1,0.17628565606159216,True
phase2_7CHM_LIG_142436060,7CHM_LIG,-8.476,5,2,493.49,3.86,3,7,100.74,6.159,693.34,COCCNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.14416647415915362,True
phase2_7CHM_LIG_155022157,7CHM_LIG,-8.882,2,0,484.43,4.64,3,6,95.17,6.134,734.73,CNc1nc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.143887249386975,True
phase2_7CHM_LIG_57383019,7CHM_LIG,-8.605,1,0,464.57,2.38,2,7,95.61,6.125,750.72,Cc1c[nH]c2ncnc(N3CCC(NC(=O)c4cccc(OCCN5CCOCC5)c4)CC3)c12,0.16812808852753566,True
phase2_7CHM_LIG_142416343,7CHM_LIG,-9.414,3,0,498.46,5.03,3,6,95.17,6.092,809.15,CCNc1nc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.1644683724795312,True
phase2_7CHM_LIG_117884097,7CHM_LIG,-9.946,3,0,458.52,4.45,3,7,114.05,6.083,825.95,CNC(=O)c1ccc(Nc2nc(OC3CCCC3)c3c(-c4ccncc4)c[nH]c3n2)c(OC)c1,0.15729600029118518,True
phase2_7CHM_LIG_146393608,7CHM_LIG,-8.996,3,0,461.44,4.08,2,6,92.37,6.076,840.08,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(C2CC2)c2c(C(F)(F)F)c[nH]c2n1,0.1307712020795352,True
phase2_7CHM_LIG_118286352,7CHM_LIG,-8.927,1,0,425.49,3.36,2,7,101.6,6.023,948.65,CCOc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(C)C)nc2[nH]ccc12,0.14050388102772576,True
phase2_7CHM_LIG_155022056,7CHM_LIG,-9.121,3,1,464.45,3.63,3,7,104.4,6.011,975.82,CNc1nc(Nc2ccc(C(=O)N3CCO[C@@H](C)C3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.12618819124537972,True
phase2_7CHM_LIG_122490578,7CHM_LIG,-9.374,4,1,452.52,2.77,3,8,113.63,6.005,987.5,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(NC[C@H]2CCCO2)c2cc[nH]c2n1,0.15257003269261565,True
phase2_7CHM_LIG_155532159,7CHM_LIG,-7.976,1,0,369.43,3.2,2,6,92.37,6.004,990.87,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC(C)C)c2cc[nH]c2n1,0.15160038739096413,True
phase2_7CHM_LIG_142436036,7CHM_LIG,-8.928,2,0,462.48,3.76,3,6,85.52,6.004,990.91,CNc1cc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.1084996104740477,True
phase2_7CHM_LIG_142416414,7CHM_LIG,-8.605,2,1,478.48,4.02,3,7,104.4,6.0,999.07,CCNc1nc(Nc2ccc(C(=O)N3CCO[C@H](C)C3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.15097916951664248,True
phase2_7CHM_LIG_142416349,7CHM_LIG,-9.149,4,0,478.48,4.02,3,7,104.4,6.0,999.07,CCNc1nc(Nc2ccc(C(=O)N3CCO[C@@H](C)C3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.15097916951664248,True
phase2_7CHM_LIG_155012434,7CHM_LIG,-9.158,2,0,478.48,4.02,3,7,104.4,6.0,999.07,CCNc1nc(Nc2ccc(C(=O)N3CCO[C@@H](C)C3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.15097916951664248,True
phase2_7CHM_LIG_155554448,7CHM_LIG,-9.75,2,0,439.52,3.75,2,7,101.6,5.993,1015.7,COc1cc(C(=O)N(C)C)ccc1Nc1nc(O[C@H]2CCOC(C)(C)C2)c2cc[nH]c2n1,0.17684955674367572,True
phase2_7CHM_LIG_77846657,7CHM_LIG,-10.314,2,0,457.53,5.06,3,6,101.16,5.987,1030.16,CNC(=O)c1ccc(Nc2nc(OC3CCCC3)c3c(-c4ccccc4)c[nH]c3n2)c(OC)c1,0.14148321120478569,True
phase2_7CHM_LIG_118286384,7CHM_LIG,-8.899,3,0,411.46,2.97,2,7,101.6,5.987,1029.35,CCOc1nc(Nc2ccc(C(=O)N3CCOC[C@@H]3C)cc2OC)nc2[nH]ccc12,0.15095572085857736,True
phase2_7CHM_LIG_126482550,7CHM_LIG,-8.743,4,1,411.46,2.97,2,7,101.6,5.987,1029.35,CCOc1nc(Nc2ccc(C(=O)N3CCOC[C@H]3C)cc2OC)nc2[nH]ccc12,0.15095572085857736,True
phase2_7CHM_LIG_142436063,7CHM_LIG,-9.536,3,0,449.43,3.85,3,6,91.51,5.971,1067.99,CNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.10676567910341882,True
phase2_7CHN_LIG_59442331,7CHN_LIG,-6.449,1,2,480.57,2.9,4,7,127.51,5.96,1096.77,CC(C)NC(=O)Nc1ccc2cc1OCC(=O)N(C)CCCN(C)Cc1c[nH]c3ncnc(c13)N2,0.15771899895283611,True
phase2_7CHM_LIG_155536065,7CHM_LIG,-9.103,3,1,411.46,2.97,2,7,101.6,5.954,1111.78,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC2CCOCC2)c2cc[nH]c2n1,0.1531016322890217,True
phase2_7CHM_LIG_140767798,7CHM_LIG,-8.525,1,0,438.46,4.23,2,6,96.73,5.953,1114.47,[C-]#[N+]c1c[nH]c2nc(Nc3ccc(C(=O)N4CCC(F)CC4)cc3OC)nc(OCC)c12,0.16318236204120412,True
phase2_7CHM_LIG_122490572,7CHM_LIG,-8.984,2,2,444.92,3.66,3,7,104.4,5.953,1113.15,CCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(Cl)c12,0.1414218036533283,True
phase2_7CHM_LIG_126482470,7CHM_LIG,-9.321,4,2,436.52,3.03,2,7,95.61,5.952,1116.99,CCOc1nc(Nc2ccc(C(=O)N3CCN4CCC[C@H]4C3)cc2OC)nc2[nH]ccc12,0.16446741405179363,True
phase2_7CHM_LIG_118286279,7CHM_LIG,-8.84,3,1,436.52,3.03,2,7,95.61,5.952,1116.99,CCOc1nc(Nc2ccc(C(=O)N3CCN4CCC[C@@H]4C3)cc2OC)nc2[nH]ccc12,0.16446741405179363,True
phase2_7CHM_LIG_142416387,7CHM_LIG,-8.98,2,0,477.49,3.55,3,7,98.41,5.947,1129.27,CCNc1nc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.1417795807588708,True
phase2_7CHM_LIG_118286387,7CHM_LIG,-9.254,2,0,438.53,3.28,2,7,95.61,5.947,1129.84,CCOc1nc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2OC(C)C)nc2[nH]ccc12,0.15554472423853172,True
phase2_7CHM_LIG_142416383,7CHM_LIG,-8.496,1,0,464.45,3.63,3,7,104.4,5.945,1135.54,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.13855523902680245,True
phase2_7CHM_LIG_122490554,7CHM_LIG,-8.917,3,1,410.48,3.0,3,7,104.4,5.944,1137.3,CCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,0.12955901879376924,True
phase2_7CHM_LIG_118286391,7CHM_LIG,-9.008,1,1,446.46,3.09,2,7,95.61,5.94,1148.92,CCOc1nc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2OC(F)F)nc2[nH]ccc12,0.1866783947276216,True
phase2_7CHM_LIG_142416325,7CHM_LIG,-8.381,3,1,450.42,3.24,3,7,104.4,5.906,1241.56,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.11454980765628787,True
phase2_7CHM_LIG_117881522,7CHM_LIG,-9.632,3,1,478.48,3.39,2,8,114.49,5.902,1252.23,COc1cc(C(=O)N(C)C2COC2)ccc1Nc1nc(OC)c2c(-c3ccnc(F)c3)c[nH]c2n1,0.16606625182276546,True
phase2_7CHM_LIG_118286449,7CHM_LIG,-8.35,2,0,399.45,2.61,4,7,121.39,5.901,1254.91,CCOc1nc(Nc2ccc(C(=O)NCC(C)(C)O)cc2OC)nc2[nH]ccc12,0.14203841066429976,True
phase2_7CHM_LIG_155558488,7CHM_LIG,-9.99,3,1,481.55,3.52,2,8,110.83,5.899,1262.54,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(O[C@H]2CCOC(C)(C)C2)c2cc[nH]c2n1,0.130706730408146,True
phase2_7CHM_LIG_155545935,7CHM_LIG,-9.696,3,0,409.49,4.12,2,6,92.37,5.897,1266.88,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC2CCCCC2)c2cc[nH]c2n1,0.1647476320650843,True
phase2_7CHM_LIG_155562324,7CHM_LIG,-9.228,2,2,395.46,3.73,2,6,92.37,5.892,1283.67,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC2CCCC2)c2cc[nH]c2n1,0.16408322654659274,True
phase2_7CHM_LIG_77847232,7CHM_LIG,-8.581,2,0,434.46,3.15,3,8,123.28,5.892,1282.78,CNC(=O)c1ccc(Nc2nc(OC)c3c(-c4ccc(OC)nc4)c[nH]c3n2)c(OC)c1,0.11619497343927514,True
phase2_7CHM_LIG_122490553,7CHM_LIG,-8.516,4,2,426.48,2.24,3,8,113.63,5.89,1286.85,COCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,0.1284939352540272,True
phase2_7CHM_LIG_122490576,7CHM_LIG,-8.582,1,0,430.9,3.27,3,7,104.4,5.874,1335.74,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(Cl)c12,0.13678637252717993,True
phase2_7CHM_LIG_122490551,7CHM_LIG,-8.674,2,0,396.45,2.61,3,7,104.4,5.845,1427.43,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,0.1255707274136669,True
phase2_7CHM_LIG_112499966,7CHM_LIG,-8.746,2,0,416.87,2.88,3,7,104.4,5.839,1449.18,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(Cl)c12,0.10812599269921701,True
phase2_7CHM_LIG_122490552,7CHM_LIG,-8.693,2,1,382.42,2.22,3,7,104.4,5.829,1483.29,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,0.11612379845886026,True
phase2_7CHM_LIG_118286448,7CHM_LIG,-8.516,2,0,465.43,3.6,2,7,101.6,5.821,1511.49,CCOc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.11607596814220089,True
phase2_7CHM_LIG_57382890,7CHM_LIG,-7.815,1,0,365.44,2.67,2,5,83.14,5.806,1563.35,COc1cccc(C(=O)NC2CCN(c3ncnc4[nH]cc(C)c34)CC2)c1,0.15352239975456225,True
phase2_7CHM_LIG_118286277,7CHM_LIG,-9.012,4,1,450.54,3.28,2,7,95.61,5.782,1653.17,CCOc1nc(Nc2ccc(C(=O)N3CCC4(CC3)CN(C)C4)cc2OC)nc2[nH]ccc12,0.18875467474148253,True
phase2_7CHM_LIG_117881541,7CHM_LIG,-9.579,2,0,436.45,3.62,2,7,105.26,5.78,1661.18,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC)c2c(-c3ccnc(F)c3)c[nH]c2n1,0.16224769828256078,True
phase2_7CHM_LIG_122490581,7CHM_LIG,-8.729,3,1,387.83,2.84,2,6,92.37,5.777,1670.63,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc2c(Cl)c[nH]c2n1,0.10396066483259563,True
phase2_7CHM_LIG_118286393,7CHM_LIG,-9.186,2,0,413.45,3.68,2,6,92.37,5.77,1697.47,CCOc1nc(Nc2ccc(C(=O)N3CCC(F)CC3)cc2OC)nc2[nH]ccc12,0.16192396969628106,True
phase2_7CHN_LIG_145885842,7CHN_LIG,-7.543,1,0,297.32,2.67,3,5,91.93,5.751,1776.18,COc1cc(Nc2ncnc3[nH]ccc23)ccc1NC(C)=O,0.11381717860255676,True
phase2_7CHM_LIG_155012431,7CHM_LIG,-8.535,2,0,492.5,4.41,3,7,104.4,5.749,1784.13,CCNc1nc(Nc2ccc(C(=O)N3C[C@@H](C)O[C@@H](C)C3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.146629935684919,True
phase2_7CHT_LIG_141303240,7CHT_LIG,-7.889,1,0,325.37,2.55,2,6,75.3,5.677,2101.94,COc1cc(N2CCOCC2)ccc1Nc1ncc2cc[nH]c2n1,0.17354291489933057,True
phase2_7CHM_LIG_118286428,7CHM_LIG,-8.737,3,0,397.44,2.58,2,7,101.6,5.649,2243.99,CCOc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,0.12351939487837409,True
phase2_7CHM_LIG_117881546,7CHM_LIG,-9.63,3,0,450.47,3.93,2,7,105.26,5.648,2246.98,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC)c2c(-c3cc(C)nc(F)c3)c[nH]c2n1,0.17207419574239355,True
phase2_7CHM_LIG_118286451,7CHM_LIG,-8.696,2,0,411.46,2.97,2,7,101.6,5.624,2378.66,CCOc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(OCC)c2cc[nH]c2n1,0.12313620008431708,True
phase2_7CHM_LIG_118286467,7CHM_LIG,-8.794,1,0,410.48,2.5,2,7,95.61,5.623,2380.61,CCOc1nc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2OC)nc2[nH]ccc12,0.13898414097021133,True
phase2_7CHM_LIG_118286459,7CHM_LIG,-8.792,2,0,424.51,2.89,2,7,95.61,5.619,2402.53,CCOc1cc(C(=O)N2CCN(C)CC2)ccc1Nc1nc(OCC)c2cc[nH]c2n1,0.13976649127195925,True
phase2_7CHM_LIG_69920162,7CHM_LIG,-9.197,3,0,443.51,4.29,2,7,104.29,5.55,2815.38,COc1cc(-c2cn(C3CCOCC3)c3ncnc(N)c23)ccc1NC(=O)c1ccccc1,0.1392194194974419,True
phase2_7CHM_LIG_122490555,7CHM_LIG,-8.841,2,0,383.41,2.19,2,7,101.6,5.538,2896.6,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(OC)c2cc[nH]c2n1,0.10883830779321683,True
phase2_7CHM_LIG_122490550,7CHM_LIG,-8.793,1,0,353.38,2.18,2,6,92.37,5.502,3145.14,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc2cc[nH]c2n1,0.1518755275190432,True
phase2_7CHM_LIG_118286447,7CHM_LIG,-9.07,2,1,425.49,3.36,2,7,101.6,5.464,3431.71,CCOc1nc(Nc2ccc(C(=O)N3C[C@@H](C)O[C@@H](C)C3)cc2OC)nc2[nH]ccc12,0.13988564783521693,True
