ligand,best_score,mean_score,std_score,n_receptors,n_good,consensus_x,score_5AP7,best_cnn,mean_cnn,best_vina,consensus_y,final_score,score_source
phase2b_seed_0_132519,-7.8,-7.8,0.0,1,1,False,-7.8,,,,,-7.8,smina
phase2b_seed_1_135566764,-7.8,-7.8,0.0,1,1,False,-7.8,,,,,-7.8,smina
phase2b_seed_0_10341154,-7.8,-7.8,0.0,1,1,False,-7.8,,,,,-7.8,smina
phase2b_seed_1_54746,-7.8,-7.8,0.0,1,1,False,-7.8,,,,,-7.8,smina
phase2b_seed_0_10296883,-7.8,-7.8,0.0,1,1,False,-7.8,,,,,-7.8,smina
phase2b_seed_2_75593308,-7.8,-7.8,0.0,1,1,False,-7.8,,,,,-7.8,smina
phase2b_seed_2_454726,-7.8,-7.8,0.0,1,1,False,-7.8,,,,,-7.8,smina
phase2b_seed_4_135908617,-7.8,-7.8,0.0,1,1,False,-7.8,,,,,-7.8,smina
phase2b_seed_4_72194525,-7.8,-7.8,0.0,1,1,False,-7.8,,,,,-7.8,smina
phase2b_seed_4_53482278,-7.8,-7.8,0.0,1,1,False,-7.8,,,,,-7.8,smina
phase2b_seed_1_155586901,-7.8,-7.8,0.0,1,1,False,-7.8,,,,,-7.8,smina
phase2b_seed_1_56935577,-7.8,-7.8,0.0,1,1,False,-7.8,,,,,-7.8,smina
phase2b_seed_0_16095400,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_4_54582836,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_2_1282,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_0_5625,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_4_25218469,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_4_71288554,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_0_5164,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_4_71288717,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_2_5329105,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_4_135567108,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_0_44206133,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_4_71505323,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_0_11538455,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_1_99652,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_2_11221549,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_4_54582835,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_4_165415136,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_0_3185,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_0_3478,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_4_118435363,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_1_21608802,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_0_91885568,-7.7,-7.7,0.0,1,1,False,-7.7,,,,,-7.7,smina
phase2b_seed_0_11338033,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_4_71288645,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_0_121293929,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_4_51035417,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_4_57964129,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_4_71288591,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_4_45488066,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_4_71288555,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_4_71262654,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_0_5284566,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_0_10090485,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_4_165415380,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_1_6918837,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_1_9839190,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_2_454729,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_2_462973,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_0_3510,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_4_24741312,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_2_9995195,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_0_9865384,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_4_10361685,-7.6,-7.6,0.0,1,1,False,-7.6,,,,,-7.6,smina
phase2b_seed_4_21911645,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_2_438569,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_0_2099,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_4_6416725,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_0_107805,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_0_4261,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_0_4487,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_3_2040,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_0_5329102,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_2_51033482,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_4_162346700,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_4_73356676,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_1_16662431,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_4_165414915,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_2_453217,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_4_24768480,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_4_117740035,-7.5,-7.5,0.0,1,1,False,-7.5,,,,,-7.5,smina
phase2b_seed_2_453391,-7.4,-7.4,0.0,1,1,False,-7.4,,,,,-7.4,smina
phase2b_seed_1_4030,-7.4,-7.4,0.0,1,1,False,-7.4,,,,,-7.4,smina
phase2b_seed_0_11688533,-7.4,-7.4,0.0,1,1,False,-7.4,,,,,-7.4,smina
phase2b_seed_4_71721528,-7.4,-7.4,0.0,1,1,False,-7.4,,,,,-7.4,smina
phase2b_seed_4_15980347,-7.4,-7.4,0.0,1,1,False,-7.4,,,,,-7.4,smina
phase2b_seed_1_108000,-7.4,-7.4,0.0,1,1,False,-7.4,,,,,-7.4,smina
phase2b_seed_2_11675054,-7.4,-7.4,0.0,1,1,False,-7.4,,,,,-7.4,smina
phase2b_seed_1_72346,-7.4,-7.4,0.0,1,1,False,-7.4,,,,,-7.4,smina
phase2b_seed_2_10292573,-7.4,-7.4,0.0,1,1,False,-7.4,,,,,-7.4,smina
phase2b_seed_4_124201738,-7.4,-7.4,0.0,1,1,False,-7.4,,,,,-7.4,smina
phase2b_seed_2_16071896,-7.3,-7.3,0.0,1,1,False,-7.3,,,,,-7.3,smina
phase2b_seed_4_24768483,-7.3,-7.3,0.0,1,1,False,-7.3,,,,,-7.3,smina
phase2b_seed_4_165414871,-7.3,-7.3,0.0,1,1,False,-7.3,,,,,-7.3,smina
phase2b_seed_2_71666749,-7.3,-7.3,0.0,1,1,False,-7.3,,,,,-7.3,smina
phase2b_seed_1_44519124,-7.3,-7.3,0.0,1,1,False,-7.3,,,,,-7.3,smina
phase2b_seed_0_107867,-7.3,-7.3,0.0,1,1,False,-7.3,,,,,-7.3,smina
phase2b_seed_2_454735,-7.3,-7.3,0.0,1,1,False,-7.3,,,,,-7.3,smina
phase2b_seed_0_50922681,-7.2,-7.2,0.0,1,1,False,-7.2,,,,,-7.2,smina
phase2b_seed_3_1150897,-7.2,-7.2,0.0,1,1,False,-7.2,,,,,-7.2,smina
phase2b_seed_3_168182,-7.2,-7.2,0.0,1,1,False,-7.2,,,,,-7.2,smina
phase2b_seed_1_129532613,-7.2,-7.2,0.0,1,1,False,-7.2,,,,,-7.2,smina
phase2b_seed_4_57378176,-7.2,-7.2,0.0,1,1,False,-7.2,,,,,-7.2,smina
phase2b_seed_4_58464924,-7.2,-7.2,0.0,1,1,False,-7.2,,,,,-7.2,smina
phase2b_seed_2_11357740,-7.2,-7.2,0.0,1,1,False,-7.2,,,,,-7.2,smina
phase2b_seed_2_3749366,-7.2,-7.2,0.0,1,1,False,-7.2,,,,,-7.2,smina
phase2b_seed_4_71288492,-7.1,-7.1,0.0,1,1,False,-7.1,,,,,-7.1,smina
phase2b_seed_4_71288531,-7.1,-7.1,0.0,1,1,False,-7.1,,,,,-7.1,smina
phase2b_seed_0_155907792,-7.0,-7.0,0.0,1,0,False,-7.0,,,,,-7.0,smina
phase2b_seed_0_86274158,-7.0,-7.0,0.0,1,0,False,-7.0,,,,,-7.0,smina
phase2b_seed_4_71538688,-7.0,-7.0,0.0,1,0,False,-7.0,,,,,-7.0,smina
phase2b_seed_1_128784,-7.0,-7.0,0.0,1,0,False,-7.0,,,,,-7.0,smina
phase2b_seed_0_4472,-7.0,-7.0,0.0,1,0,False,-7.0,,,,,-7.0,smina
phase2b_seed_0_2396,-7.0,-7.0,0.0,1,0,False,-7.0,,,,,-7.0,smina
phase2b_seed_1_9925908,-7.0,-7.0,0.0,1,0,False,-7.0,,,,,-7.0,smina
phase2b_seed_0_6914657,-7.0,-7.0,0.0,1,0,False,-7.0,,,,,-7.0,smina
phase2b_seed_0_71919,-6.9,-6.9,0.0,1,0,False,-6.9,,,,,-6.9,smina
phase2b_seed_1_86567422,-6.9,-6.9,0.0,1,0,False,-6.9,,,,,-6.9,smina
phase2b_seed_0_4848,-6.9,-6.9,0.0,1,0,False,-6.9,,,,,-6.9,smina
phase2b_seed_4_87382935,-6.9,-6.9,0.0,1,0,False,-6.9,,,,,-6.9,smina
phase2b_seed_4_165414970,-6.8,-6.8,0.0,1,0,False,-6.8,,,,,-6.8,smina
phase2b_seed_2_129989,-6.8,-6.8,0.0,1,0,False,-6.8,,,,,-6.8,smina
phase2b_seed_1_71301472,-6.8,-6.8,0.0,1,0,False,-6.8,,,,,-6.8,smina
phase2b_seed_3_23897,-6.8,-6.8,0.0,1,0,False,-6.8,,,,,-6.8,smina
phase2b_seed_1_71234,-6.7,-6.7,0.0,1,0,False,-6.7,,,,,-6.7,smina
phase2b_seed_0_3114,-6.7,-6.7,0.0,1,0,False,-6.7,,,,,-6.7,smina
phase2b_seed_4_46209426,-6.7,-6.7,0.0,1,0,False,-6.7,,,,,-6.7,smina
phase2b_seed_0_129597835,-6.7,-6.7,0.0,1,0,False,-6.7,,,,,-6.7,smina
phase2b_seed_4_124222752,-6.5,-6.5,0.0,1,0,False,-6.5,,,,,-6.5,smina
phase2b_seed_4_25260758,-9.0,-9.0,0.0,1,1,False,-9.0,0.154,0.289,-8.59,False,0.154,gnina_cnn
phase2b_seed_2_138578805,-9.6,-9.6,0.0,1,1,False,-9.6,0.183,0.317,-8.18,True,0.183,gnina_cnn
phase2b_seed_4_71288682,-8.9,-8.9,0.0,1,1,False,-8.9,0.216,0.259,-9.25,True,0.216,gnina_cnn
phase2b_seed_1_25262792,-9.2,-9.2,0.0,1,1,False,-9.2,0.216,0.28,-9.0,True,0.216,gnina_cnn
phase2b_seed_1_163557606,-9.3,-9.3,0.0,1,1,False,-9.3,0.232,0.396,-7.82,True,0.232,gnina_cnn
phase2b_seed_1_71245288,-8.9,-8.9,0.0,1,1,False,-8.9,0.259,0.44,-8.79,True,0.259,gnina_cnn
phase2b_seed_0_9939865,-9.0,-9.0,0.0,1,1,False,-9.0,0.265,0.333,-8.89,False,0.265,gnina_cnn
phase2b_seed_0_5330286,-9.2,-9.2,0.0,1,1,False,-9.2,0.276,0.743,-10.59,True,0.276,gnina_cnn
phase2b_seed_0_60195662,-8.9,-8.9,0.0,1,1,False,-8.9,0.279,0.543,-7.44,True,0.279,gnina_cnn
phase2b_seed_2_25138148,-10.3,-10.3,0.0,1,1,False,-10.3,0.288,0.337,-9.93,True,0.288,gnina_cnn
phase2b_seed_1_59215954,-8.8,-8.8,0.0,1,1,False,-8.8,0.305,0.499,-8.38,True,0.305,gnina_cnn
phase2b_seed_2_25195091,-9.0,-9.0,0.0,1,1,False,-9.0,0.308,0.43,-8.85,True,0.308,gnina_cnn
phase2b_seed_2_11676119,-9.0,-9.0,0.0,1,1,False,-9.0,0.312,0.474,-9.26,True,0.312,gnina_cnn
phase2b_seed_2_11625929,-10.0,-10.0,0.0,1,1,False,-10.0,0.328,0.41,-9.61,True,0.328,gnina_cnn
phase2b_seed_0_49843471,-9.4,-9.4,0.0,1,1,False,-9.4,0.336,0.42,-9.57,True,0.336,gnina_cnn
phase2b_seed_2_15991573,-10.2,-10.2,0.0,1,1,False,-10.2,0.338,0.419,-9.79,True,0.338,gnina_cnn
phase2b_seed_2_16086088,-9.9,-9.9,0.0,1,1,False,-9.9,0.339,0.489,-9.92,True,0.339,gnina_cnn
phase2b_seed_4_129136448,-8.9,-8.9,0.0,1,1,False,-8.9,0.341,0.559,-8.74,True,0.341,gnina_cnn
phase2b_seed_1_118480924,-9.3,-9.3,0.0,1,1,False,-9.3,0.346,0.425,-7.8,False,0.346,gnina_cnn
phase2b_seed_2_23644671,-9.0,-9.0,0.0,1,1,False,-9.0,0.367,0.556,-9.34,True,0.367,gnina_cnn
phase2b_seed_2_18549509,-9.0,-9.0,0.0,1,1,False,-9.0,0.37,0.549,-8.68,True,0.37,gnina_cnn
phase2b_seed_0_9919680,-10.1,-10.1,0.0,1,1,False,-10.1,0.376,0.697,-10.09,True,0.376,gnina_cnn
phase2b_seed_2_24858111,-9.4,-9.4,0.0,1,1,False,-9.4,0.381,0.435,-8.27,True,0.381,gnina_cnn
phase2b_seed_3_49806720,-9.1,-9.1,0.0,1,1,False,-9.1,0.412,0.587,-10.8,True,0.412,gnina_cnn
phase2b_seed_3_11950726,-10.5,-10.5,0.0,1,1,False,-10.5,0.413,0.492,-9.54,True,0.413,gnina_cnn
phase2b_seed_1_11618268,-8.8,-8.8,0.0,1,1,False,-8.8,0.417,0.503,-7.86,True,0.417,gnina_cnn
phase2b_seed_1_11338127,-9.0,-9.0,0.0,1,1,False,-9.0,0.419,0.433,-8.77,True,0.419,gnina_cnn
phase2b_seed_2_135398510,-9.0,-9.0,0.0,1,1,False,-9.0,0.432,0.608,-9.41,True,0.432,gnina_cnn
phase2b_seed_1_11494412,-9.8,-9.8,0.0,1,1,False,-9.8,0.446,0.484,-10.02,True,0.446,gnina_cnn
phase2b_seed_2_11518031,-9.0,-9.0,0.0,1,1,False,-9.0,0.447,0.551,-9.29,True,0.447,gnina_cnn
phase2b_seed_0_24872560,-9.2,-9.2,0.0,1,1,False,-9.2,0.448,0.541,-8.3,True,0.448,gnina_cnn
phase2b_seed_1_11373432,-9.3,-9.3,0.0,1,1,False,-9.3,0.454,0.573,-9.04,True,0.454,gnina_cnn
phase2b_seed_1_67223373,-9.1,-9.1,0.0,1,1,False,-9.1,0.483,0.572,-9.23,True,0.483,gnina_cnn
phase2b_seed_4_66555847,-8.9,-8.9,0.0,1,1,False,-8.9,0.533,0.592,-9.58,True,0.533,gnina_cnn
phase2b_seed_1_56646218,-9.1,-9.1,0.0,1,1,False,-9.1,0.562,0.778,-9.2,True,0.562,gnina_cnn
phase2b_seed_2_10089772,-9.3,-9.3,0.0,1,1,False,-9.3,0.571,0.701,-9.0,True,0.571,gnina_cnn
phase2b_seed_3_44814409,-8.9,-8.9,0.0,1,1,False,-8.9,0.594,0.698,-9.33,True,0.594,gnina_cnn
phase2b_seed_2_25061501,-8.9,-8.9,0.0,1,1,False,-8.9,0.611,0.797,-8.93,True,0.611,gnina_cnn
phase2b_seed_4_9822488,-8.9,-8.9,0.0,1,1,False,-8.9,0.619,0.707,-7.48,True,0.619,gnina_cnn
phase2b_seed_1_10433653,-9.1,-9.1,0.0,1,1,False,-9.1,0.627,0.746,-9.61,True,0.627,gnina_cnn
phase2b_seed_2_447682,-9.0,-9.0,0.0,1,1,False,-9.0,0.643,0.714,-9.04,True,0.643,gnina_cnn
phase2b_seed_2_135564899,-8.8,-8.8,0.0,1,1,False,-8.8,0.647,0.784,-9.57,True,0.647,gnina_cnn
phase2b_seed_0_5291,-9.0,-9.0,0.0,1,1,False,-9.0,0.666,0.733,-8.92,True,0.666,gnina_cnn
phase2b_seed_3_70817911,-8.9,-8.9,0.0,1,1,False,-8.9,0.67,0.758,-9.6,True,0.67,gnina_cnn
phase2b_seed_4_121333495,-8.8,-8.8,0.0,1,1,False,-8.8,0.741,0.838,-8.77,True,0.741,gnina_cnn
phase2b_seed_2_25145656,-9.2,-9.2,0.0,1,1,False,-9.2,0.769,0.781,-9.88,True,0.769,gnina_cnn
phase2b_seed_1_3501,-9.2,-9.2,0.0,1,1,False,-9.2,0.824,0.857,-9.95,True,0.824,gnina_cnn
phase2b_seed_1_135565545,-9.5,-9.5,0.0,1,1,False,-9.5,0.837,0.843,-9.82,True,0.837,gnina_cnn
phase2b_seed_3_86269224,-9.1,-9.1,0.0,1,1,False,-9.1,0.879,0.893,-10.45,True,0.879,gnina_cnn
phase2b_seed_0_68029831,-9.3,-9.3,0.0,1,1,False,-9.3,0.88,0.912,-10.7,True,0.88,gnina_cnn
